,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,item,condition,sentence,target,alternative,lstmaugment 0 correct (max),lstmaugment 0 correct (sample),lstmaugment 0 target score,lstmaugment 0 alternative score,lstmaugment 1 correct (max),lstmaugment 1 correct (sample),lstmaugment 1 target score,lstmaugment 1 alternative score,lstmaugment 2 correct (max),lstmaugment 2 correct (sample),lstmaugment 2 target score,lstmaugment 2 alternative score,lstmaugment 3 correct (max),lstmaugment 3 correct (sample),lstmaugment 3 target score,lstmaugment 3 alternative score,lstmaugment 4 correct (max),lstmaugment 4 correct (sample),lstmaugment 4 target score,lstmaugment 4 alternative score,lstmlmaug 0 correct (max),lstmlmaug 0 correct (sample),lstmlmaug 0 target score,lstmlmaug 0 alternative score,lstmlmaug 1 correct (max),lstmlmaug 1 correct (sample),lstmlmaug 1 target score,lstmlmaug 1 alternative score,lstmlmaug 2 correct (max),lstmlmaug 2 correct (sample),lstmlmaug 2 target score,lstmlmaug 2 alternative score,lstmlmaug 3 correct (max),lstmlmaug 3 correct (sample),lstmlmaug 3 target score,lstmlmaug 3 alternative score,lstmlmaug 4 correct (max),lstmlmaug 4 correct (sample),lstmlmaug 4 target score,lstmlmaug 4 alternative score,lstmwiki_lm 0 correct (max),lstmwiki_lm 0 correct (sample),lstmwiki_lm 0 target score,lstmwiki_lm 0 alternative score,lstmwiki_lm 1 correct (max),lstmwiki_lm 1 correct (sample),lstmwiki_lm 1 target score,lstmwiki_lm 1 alternative score,lstmwiki_lm 2 correct (max),lstmwiki_lm 2 correct (sample),lstmwiki_lm 2 target score,lstmwiki_lm 2 alternative score,lstmwiki_lm 3 correct (max),lstmwiki_lm 3 correct (sample),lstmwiki_lm 3 target score,lstmwiki_lm 3 alternative score,lstmwiki_lm 4 correct (max),lstmwiki_lm 4 correct (sample),lstmwiki_lm 4 target score,lstmwiki_lm 4 alternative score,gpt2 correct (max),gpt2 correct (sample),gpt2 target score,gpt2 alternative score,lstmaugment_tied 0 correct (max),lstmaugment_tied 0 correct (sample),lstmaugment_tied 0 target score,lstmaugment_tied 0 alternative score,lstmaugment_tied 1 correct (max),lstmaugment_tied 1 correct (sample),lstmaugment_tied 1 target score,lstmaugment_tied 1 alternative score,lstmaugment_tied 2 correct (max),lstmaugment_tied 2 correct (sample),lstmaugment_tied 2 target score,lstmaugment_tied 2 alternative score,lstmaugment_tied 3 correct (max),lstmaugment_tied 3 correct (sample),lstmaugment_tied 3 target score,lstmaugment_tied 3 alternative score
0,0,0,0,0,0,0,0,0,0,0,0,Franck_0_SSS,SSS,The advertisement from the office of the real estate agent,is,are,100,94.61414385976498,-6.459237098693848,-9.325267791748049,100,94.61289963692548,-6.047271728515625,-8.913058280944824,100,95.4112624103994,-3.4551801681518555,-6.489771842956543,100,93.45640294446744,-7.418028831481934,-10.07703685760498,100,75.72213572160724,-6.771176338195801,-7.908681869506836,100,89.70840084425502,-7.989209175109863,-10.15444564819336,100,93.93255687056134,-6.484374523162842,-9.224014282226562,100,87.58572097285648,-7.142796516418457,-9.096567153930664,100,90.42095652248776,-6.648138523101807,-8.893036842346191,100,95.23648621362086,-6.996284484863281,-9.99166202545166,100,94.51825089476552,-6.284465312957764,-9.131834030151367,100,58.74437313782821,-7.190320014953613,-7.543727874755859,100,90.46625035478452,-6.574422359466553,-8.82456111907959,100,87.66468546115837,-6.940304756164551,-8.901357650756836,100,85.83316439470666,-7.489938259124756,-9.2914400100708,100,99.18475154129356,-2.721862316131592,-7.523108959197998,100,79.88496108067751,-5.099236488342285,-6.47835636138916,100,89.8087962301909,-6.969164848327637,-9.145322799682615,100,92.9853752101565,-5.866996765136719,-8.451441764831543,100,84.89788009331699,-3.874801158905029,-5.601415157318115
1,1,1,1,1,1,1,1,1,1,1,1,Franck_0_SSP,SSP,The advertisement from the office of the real estate agents,is,are,100,71.10117420117777,-6.882599830627441,-7.782902717590332,0,43.09906246468201,-6.738391876220703,-6.460581302642822,100,68.65703818102841,-3.964985847473145,-4.749119758605957,100,60.84091271498711,-7.442793846130371,-7.883423805236816,0,13.797242314530484,-7.595128059387207,-5.762894630432129,100,63.39875998467864,-8.209929466247559,-8.759291648864746,0,33.51403323475227,-8.101282119750977,-7.416255474090576,0,41.64068958300168,-7.864562034606934,-7.527020931243896,100,56.76926315991344,-7.372366428375244,-7.644809722900391,0,46.20982519294783,-7.60261344909668,-7.450715065002441,0,49.73478565995845,-6.535091400146484,-6.524482727050781,0,30.720982715614465,-8.1089448928833,-7.295748710632324,100,57.96851962565584,-7.952852725982666,-8.274333953857422,0,44.93599519908421,-7.6661057472229,-7.462848663330078,0,41.18050809583371,-8.2421293258667,-7.885621070861816,100,94.51147499977772,-3.0419163703918457,-5.8879780769348145,100,60.1433088502075,-5.081510543823242,-5.492950439453125,0,46.720712762543016,-7.247631072998047,-7.116271018981934,100,65.25787910321647,-6.26658821105957,-6.896982192993164,0,29.817016036659748,-5.531049728393555,-4.675023078918457
2,2,2,2,2,2,2,2,2,2,2,2,Franck_0_SPS,SPS,The advertisement from the offices of the real estate agent,is,are,100,90.28649938238664,-6.3720808029174805,-8.60155200958252,100,82.91321684836647,-6.25268030166626,-7.832169532775879,100,88.44791809196796,-3.529601573944092,-5.565149784088135,100,74.6205282488965,-7.943263053894043,-9.021738052368164,100,57.76352064165988,-7.438935279846191,-7.752008438110352,100,74.1669808895355,-9.046975135803224,-10.101640701293944,100,72.82542958612274,-7.027825355529785,-8.013608932495117,100,83.75269384459773,-7.473808288574219,-9.113749504089355,100,89.44862051462022,-6.674780368804932,-8.812188148498535,100,92.19876765640896,-6.962415218353272,-9.432080268859863,100,72.43522647297989,-6.269268035888672,-7.235422134399414,100,52.641695256267006,-7.6330885887146,-7.738854885101318,100,80.9935725322213,-7.226916313171387,-8.676508903503418,100,79.09638762261562,-7.665333271026611,-8.996078491210938,100,72.6102065284141,-7.941308498382568,-8.916243553161621,100,95.69797714132878,-2.940645217895508,-6.042757034301758,100,74.37511537009657,-4.903886795043945,-5.969444274902344,100,61.480479265397015,-7.845317363739014,-8.312871932983398,100,78.06723743475719,-6.532660484313965,-7.802249431610107,100,76.35846212915948,-3.887142419815064,-5.059576034545898
3,3,3,3,3,3,3,3,3,3,3,3,Franck_0_SPP,SPP,The advertisement from the offices of the real estate agents,is,are,100,59.29274235913733,-6.969024658203125,-7.345105171203613,0,26.58136521044848,-7.137002468109131,-6.121035099029541,100,53.70622523780478,-4.208054542541504,-4.356575965881348,0,17.73709335794054,-8.254783630371094,-6.720521450042725,0,4.488104618083671,-8.513280868530273,-5.455460548400879,0,24.804558789199515,-9.486315727233888,-8.377252578735352,0,7.031064461682904,-8.92393970489502,-6.342012405395508,0,36.88956836709173,-8.202665328979492,-7.665708065032959,0,40.83585522930876,-7.982455730438232,-7.611700534820557,0,26.818383223822583,-7.976485252380371,-6.972628593444824,0,36.85162105635394,-6.679200649261475,-6.140613079071045,0,24.625585799035207,-8.453407287597656,-7.334725379943848,0,31.843919933932067,-8.89128589630127,-8.130331993103027,0,19.32147890476141,-8.961043357849121,-7.531788349151611,0,13.92797248759011,-9.250060081481934,-7.428774833679199,100,91.3075299772508,-3.020014762878418,-5.371790885925293,100,55.653633370101296,-4.909630298614502,-5.136746883392334,0,17.213379101351816,-8.700477600097656,-7.129898071289063,0,34.70641047847301,-6.830760955810547,-6.19879150390625,0,17.338727984550392,-5.574733734130859,-4.012925148010254
4,4,4,4,4,4,4,4,4,4,4,4,Franck_0_PSS,PSS,The advertisements from the office of the real estate agent,are,is,0,33.495027878423365,-8.016313552856445,-7.3304338455200195,0,26.9341742482238,-7.139968395233154,-6.142003536224365,100,83.46189289573464,-3.438964366912842,-5.057687282562256,0,45.69760247869991,-7.5751953125,-7.40267276763916,100,79.04346024962248,-6.314587116241455,-7.642134189605713,0,45.58618416948195,-8.885747909545898,-8.708734512329102,0,43.32004826491285,-7.499650478363037,-7.23084545135498,100,54.53204739799408,-7.403321743011475,-7.585102558135986,0,24.556473690316214,-7.877432823181152,-6.755023956298828,0,40.35366682720132,-7.729815006256103,-7.339064598083496,100,65.01769853741786,-6.3856401443481445,-7.005457401275635,100,63.86460270235615,-6.7875590324401855,-7.357051372528076,100,76.11512076513628,-6.944326400756836,-8.103327751159668,0,48.37593962361554,-7.053862571716309,-6.988877296447754,100,51.33427882263387,-7.913225173950195,-7.966609001159668,100,97.73048924304874,-2.3291380405426025,-6.091787338256836,100,75.77744162294043,-4.569418430328369,-5.709934711456299,100,57.45502676303085,-6.475787162780762,-6.776227951049805,100,56.475215506492894,-6.317763328552246,-6.578234672546387,100,55.086692546207495,-3.992409706115722,-4.1965837478637695
5,5,5,5,5,5,5,5,5,5,5,5,Franck_0_PSP,PSP,The advertisements from the office of the real estate agents,are,is,100,59.820744551408666,-7.285463809967041,-7.683465480804443,100,81.18814802437626,-5.429265022277832,-6.891547203063965,100,95.20243997696996,-2.630179643630981,-5.618077754974365,100,89.22606328457881,-5.7556352615356445,-7.869678497314453,100,97.91786788001832,-5.517287254333496,-9.368023872375488,100,74.5083511069758,-7.994970321655273,-9.067530632019045,100,95.96846619780474,-6.59240198135376,-9.762274742126465,100,87.06018344854304,-6.708903789520264,-8.615194320678711,100,62.16726951051095,-7.029620170593262,-7.52627420425415,100,77.62189970209349,-6.831296920776367,-8.075063705444336,100,90.11188226797428,-5.0272979736328125,-7.237016201019287,100,81.80442414327922,-6.619897842407227,-8.123050689697266,100,92.87340516424976,-7.130825996398926,-9.698229789733888,100,85.20155803654707,-6.211923599243164,-7.962421417236328,100,87.11657883401243,-6.960174083709717,-8.871479988098145,100,95.70898752968124,-2.4744999408721924,-5.579289436340332,100,84.54092411297496,-4.234070777893066,-5.933110237121582,100,83.49038551210687,-5.74517297744751,-7.36596155166626,100,76.93223452558522,-5.593867301940918,-6.798356056213379,100,91.3299313490686,-3.656400203704834,-6.011002063751221
6,6,6,6,6,6,6,6,6,6,6,6,Franck_0_PPS,PPS,The advertisements from the offices of the real estate agent,are,is,0,45.415759103726,-7.166811943054199,-6.982925891876221,0,39.671323383111776,-6.730996608734131,-6.311817646026611,100,79.58667240353894,-3.8157200813293457,-5.1763787269592285,100,83.50218668716505,-6.197190761566162,-7.818835735321045,100,71.7772321309067,-6.948198318481445,-7.881636619567871,100,59.68242381353414,-9.313788414001465,-9.70603847503662,100,69.58536827342759,-6.741137981414795,-7.568768501281738,100,53.82498353847264,-7.820092678070068,-7.973391532897949,0,17.856569524441845,-8.370052337646484,-6.84395694732666,0,38.77041395782653,-7.637302398681641,-7.180329322814941,100,79.44736577021511,-5.613712310791016,-6.965817928314209,100,65.62567280977039,-6.910453796386719,-7.557110786437988,100,76.78140744064952,-7.212254047393799,-8.408263206481934,0,45.18107960100679,-7.61382532119751,-7.420468330383301,100,57.42758644543159,-7.987942695617676,-8.287261009216309,100,98.6823391400725,-2.392812490463257,-6.708860397338867,100,78.38062317046467,-4.372530937194824,-5.660517692565918,100,64.91992839476785,-6.892202377319336,-7.507723808288574,100,60.10087186887226,-6.436330795288086,-6.846000671386719,100,60.82580217937955,-3.609272956848145,-4.04926872253418
7,7,7,7,7,7,7,7,7,7,7,7,Franck_0_PPP,PPP,The advertisements from the offices of the real estate agents,are,is,100,66.66523618217123,-6.50751256942749,-7.200595378875732,100,85.04575838141487,-5.685422897338867,-7.423617362976074,100,92.67822313065936,-3.284863948822021,-5.823144435882568,100,97.18016796331428,-4.737601280212402,-8.277490615844727,100,98.17561876877038,-5.540106296539307,-9.525623321533203,100,92.1508955074906,-8.128664016723633,-10.591691970825195,100,98.67748573298688,-5.910336971282959,-10.22265911102295,100,86.96032891218441,-7.100794315338135,-8.998250007629395,100,66.72900780657469,-7.534044742584228,-8.229998588562012,100,85.62159627922897,-6.5546875,-8.338897705078125,100,91.61393655633594,-5.073870658874512,-7.464882850646973,100,84.1972896149725,-6.6773223876953125,-8.350303649902344,100,94.09677551081384,-7.373978137969971,-10.142803192138672,100,92.49799585188792,-6.548131465911865,-9.060148239135742,100,94.78762047410602,-6.857426643371582,-9.758028984069824,100,98.0300767021977,-2.4314234256744385,-6.338703155517578,100,93.84828810130792,-3.980664014816284,-6.705613136291504,100,91.91866045535184,-6.186780452728272,-8.61812686920166,100,84.42455498787808,-5.566251277923584,-7.25641393661499,100,89.60634043086847,-3.37099838256836,-5.525228500366211
8,8,8,8,8,8,8,8,8,8,8,8,Franck_1_SSS,SSS,The announcement by the director of the foundation,is,are,100,91.84036286435004,-6.761738300323486,-9.18259048461914,100,92.24706130014071,-6.158066749572754,-8.634465217590332,100,95.3524391243148,-4.941115379333496,-7.962352752685547,100,97.60707638130242,-3.485716819763184,-7.194150924682617,100,82.42286196700182,-6.684911251068115,-8.230175018310547,100,95.29974290433356,-6.429344177246094,-9.438754081726074,100,80.94250417903436,-7.446008682250977,-8.892287254333496,100,90.5696182213044,-8.474306106567383,-10.736488342285156,100,96.22416872881747,-7.178633689880371,-10.416693687438965,100,87.12667436021184,-5.715109825134277,-7.627315521240234,100,93.48100922314995,-5.431196689605713,-8.09423542022705,100,78.12330891475843,-7.16315221786499,-8.436018943786621,100,96.51698670625026,-5.594333648681641,-8.916154861450195,100,95.67666242568896,-7.369778633117676,-10.46672534942627,100,93.51927613539176,-7.686009407043457,-10.355344772338867,100,99.79258759271902,-3.1735026836395264,-9.349642753601074,100,88.19232132129694,-6.201077461242676,-8.211847305297852,100,95.96542473124993,-7.200741291046143,-10.369828224182127,100,95.21983644590529,-6.464524269104004,-9.45623779296875,100,91.20875515242754,-5.414474010467529,-7.753868579864502
9,9,9,9,9,9,9,9,9,9,9,9,Franck_1_SSP,SSP,The announcement by the director of the foundations,is,are,0,45.77158972538943,-7.451533317565918,-7.281991958618164,100,57.96799680800245,-8.011177062988281,-8.332636833190918,100,64.69674630202546,-5.584121227264404,-6.189857006072998,100,77.97751627313978,-6.189423561096191,-7.453780174255371,100,72.50305811277121,-6.454271793365479,-7.423825740814209,100,79.79246478505357,-7.051749706268311,-8.42512321472168,0,46.93642051696989,-7.630223274230957,-7.507526397705078,100,66.2055286654477,-7.982243061065674,-8.654709815979004,100,79.23988327353153,-7.669919967651367,-9.009366035461426,100,52.06891117325031,-6.674516677856445,-6.757320404052734,100,74.70496065182535,-6.015756130218506,-7.098694324493408,100,57.20296269627045,-7.327027320861816,-7.617164134979248,100,75.91349134029885,-5.817421913146973,-6.965364456176758,100,84.97184109065877,-7.676055908203125,-9.40845012664795,100,55.59573639478034,-7.990384578704834,-8.215155601501465,100,97.91380862279986,-3.8752734661102295,-7.724020957946777,100,68.6278686790194,-6.668066024780273,-7.450844764709473,100,68.94966530100938,-7.44750452041626,-8.245271682739258,100,58.84820227035472,-6.856589317321777,-7.214282989501953,100,64.33415481026591,-6.519014835357666,-7.108911991119385
