,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,item,condition,sentence,target,alternative,lstmccgjoint 0 correct (max),lstmccgjoint 0 correct (sample),lstmccgjoint 0 target score,lstmccgjoint 0 alternative score,lstmccgjoint 1 correct (max),lstmccgjoint 1 correct (sample),lstmccgjoint 1 target score,lstmccgjoint 1 alternative score,lstmccgjoint 2 correct (max),lstmccgjoint 2 correct (sample),lstmccgjoint 2 target score,lstmccgjoint 2 alternative score,lstmccgjoint 3 correct (max),lstmccgjoint 3 correct (sample),lstmccgjoint 3 target score,lstmccgjoint 3 alternative score,lstmccgjoint 4 correct (max),lstmccgjoint 4 correct (sample),lstmccgjoint 4 target score,lstmccgjoint 4 alternative score,lstmccglm 0 correct (max),lstmccglm 0 correct (sample),lstmccglm 0 target score,lstmccglm 0 alternative score,lstmccglm 1 correct (max),lstmccglm 1 correct (sample),lstmccglm 1 target score,lstmccglm 1 alternative score,lstmccglm 2 correct (max),lstmccglm 2 correct (sample),lstmccglm 2 target score,lstmccglm 2 alternative score,lstmccglm 3 correct (max),lstmccglm 3 correct (sample),lstmccglm 3 target score,lstmccglm 3 alternative score,lstmccglm 4 correct (max),lstmccglm 4 correct (sample),lstmccglm 4 target score,lstmccglm 4 alternative score
0,0,0,0,Bock1992_0_ss_prop,ss_prop,The new tape from the popular rock artist,is,are,100,84.13011223742016,-5.295087814331055,-6.963028907775879,100,86.83117753084623,-4.268426418304443,-6.154540061950684,100,90.6740254527773,-4.987882614135742,-7.262350082397461,100,95.5301988904171,-5.4459333419799805,-8.508031845092773,100,80.84024493100503,-5.552773475646973,-6.992436408996582,100,89.68616527551558,-5.454709053039551,-7.617539405822754,100,81.53334543189061,-6.663153648376465,-8.148199081420898,100,77.33208665377718,-5.991040229797363,-7.218198776245117,100,83.11158091108902,-5.600428104400635,-7.193984031677246,100,79.21119058647703,-5.405126094818115,-6.742828845977783
1,1,1,1,Bock1992_0_ss_rc,ss_rc,The new tape that introduced the rock artist,is,are,100,79.76734997489118,-5.924773693084717,-7.296590328216553,100,89.2054458627376,-5.342700004577637,-7.45460033416748,100,94.00203879042516,-4.265359401702881,-7.017256259918213,100,89.25279952767507,-4.893547534942627,-7.010375022888184,100,96.74623513291031,-4.882867813110352,-8.275146484375,100,82.46870612780853,-6.324686050415039,-7.873117446899414,100,87.8842561976322,-5.719783306121826,-7.701298236846924,100,86.87556240755555,-4.663103103637695,-6.553103923797607,100,91.91909257734659,-6.248852252960205,-8.680256843566895,100,90.29145792923224,-5.07220983505249,-7.302246570587158
2,2,2,2,Bock1992_0_sp_prop,sp_prop,The new tape from the popular rock artists,is,are,0,21.15842133244862,-6.860785484313965,-5.545382976531982,0,7.851215523481906,-7.457997322082519,-4.995261192321777,0,38.46248707369103,-6.3916015625,-5.921638011932373,0,31.403904028732555,-7.202646255493164,-6.421342849731445,0,28.67825191552929,-6.908080101013184,-5.997017860412598,0,10.87968243710445,-8.406478881835938,-6.303388595581055,0,1.5310566668053196,-8.376727104187012,-4.212944030761719,0,4.307385349696627,-7.232980251312256,-4.1321702003479,0,2.9690271292069106,-8.882177352905273,-5.395381450653076,0,6.72424617851832,-7.283390522003174,-4.653550148010254
3,3,3,3,Bock1992_0_sp_rc,sp_rc,The new tape that introduced the rock artists,is,are,0,28.893809601094024,-7.355038166046143,-6.454491138458252,0,3.619023893021033,-8.295527458190918,-5.013422966003418,100,66.60047010449539,-5.793274402618408,-6.483444213867188,0,47.65219617233256,-6.914331912994385,-6.820350646972656,100,68.76379845930506,-7.044045448303223,-7.833145141601562,0,8.346305697920563,-9.664396286010742,-7.268198013305664,0,2.1178869918988137,-8.219886779785156,-4.386541843414307,0,1.842756050718243,-7.889387130737305,-3.914078712463379,0,17.94995125896555,-9.860334396362305,-8.340592384338379,0,8.030276069042573,-7.115565299987793,-4.6773247718811035
4,4,4,4,Bock1992_0_ps_prop,ps_prop,The new tapes from the popular rock artist,are,is,0,24.476419753652905,-6.530915260314941,-5.404180526733398,0,25.98504903933543,-5.83233642578125,-4.785590648651123,0,16.667441123793328,-7.238477230072021,-5.629095077514648,0,8.775459116746061,-7.087512493133545,-4.746147632598877,0,20.451103871537985,-7.085699558258057,-5.727364540100098,0,21.735747499437057,-7.852300643920898,-6.571167945861816,0,26.45697485101931,-7.859127998352051,-6.836777210235596,0,30.57568418028846,-7.785120487213135,-6.965088367462158,0,15.93721360874075,-8.021195411682129,-6.358288288116455,0,44.0751090000643,-6.275713920593262,-6.037599563598633
5,5,5,5,Bock1992_0_ps_rc,ps_rc,The new tapes that introduced the rock artist,are,is,0,28.71011626609236,-7.159444332122803,-6.249939441680908,0,12.944329512046483,-7.490089893341064,-5.584199905395508,0,8.63728323311641,-6.561276435852051,-4.202527046203613,0,18.52048951882626,-6.393063068389893,-4.9115891456604,0,6.999226257347313,-7.068859577178955,-4.482051372528076,0,23.946847584104457,-7.783543109893799,-6.6279473304748535,0,20.766023961887342,-7.841359615325928,-6.502272605895996,0,19.68087158117216,-6.287348747253418,-4.880988121032715,0,9.342806663761987,-8.48402214050293,-6.211543560028076,0,18.789700653042253,-6.923851490020752,-5.460118293762207
6,6,6,6,Bock1992_0_pp_prop,pp_prop,The new tapes from the popular rock artists,are,is,100,88.44912632276163,-5.032928466796875,-7.068594932556152,100,92.69460783410014,-6.328906536102295,-8.869604110717773,100,77.28032099512707,-5.919367790222168,-7.143575668334961,100,81.85166071744881,-5.598133087158203,-7.104462623596191,100,73.17502790318387,-7.09337329864502,-8.096894264221191,100,91.96789248550186,-7.107564449310303,-9.545557022094727,100,97.66914732228994,-4.25410270690918,-7.98945426940918,100,97.30935019705693,-4.860824108123779,-8.448936462402344,100,98.15068353733045,-6.5194993019104,-10.49118709564209,100,94.73813556669835,-5.681764125823975,-8.572395324707031
7,7,7,7,Bock1992_0_pp_rc,pp_rc,The new tapes that introduced the rock artists,are,is,100,79.07864302500037,-6.424809455871582,-7.754481792449951,100,95.95954412163532,-5.507925987243652,-8.675495147705078,0,44.45063687843651,-6.0471954345703125,-5.824302673339844,100,65.87372257246518,-6.062323570251465,-6.719995498657227,0,48.89618214285576,-7.369382858276367,-7.325222969055176,100,92.85117990821118,-7.360730171203613,-9.92478084564209,100,98.71641782634494,-4.815957546234131,-9.158554077148438,100,98.53278685751225,-3.515130043029785,-7.72215461730957,100,87.26696584984519,-7.7246904373168945,-9.649462699890137,100,95.3828576657227,-4.462536811828613,-7.490659713745117
8,8,8,8,Bock1992_1_ss_prop,ss_prop,The newspaper from the British government agency,is,are,100,87.6291760403888,-4.2467451095581055,-6.2045183181762695,100,94.01410149984346,-4.457108974456787,-7.211147308349609,100,93.90513789251636,-5.307496547698975,-8.042335510253906,100,95.65406563615134,-5.009607315063477,-8.101104736328125,100,87.84301398877938,-6.072929859161377,-8.050577163696289,100,69.29441059079653,-5.967506408691406,-6.781425952911377,100,91.42899360197792,-4.470464706420898,-6.837642192840576,100,79.30361491155871,-5.667298793792725,-7.010623455047607,100,60.27063091043886,-5.074578285217285,-5.491332530975342,100,85.88404885714911,-5.6948418617248535,-7.500534534454346
9,9,9,9,Bock1992_1_ss_rc,ss_rc,The newspaper that described the government agency,is,are,100,86.16717142264571,-5.243466377258301,-7.072710990905762,100,94.44519489639896,-4.6295928955078125,-7.462949275970459,100,96.69235086828046,-4.710679054260254,-8.085975646972656,100,97.75407801174592,-5.2813401222229,-9.054678916931152,100,98.19988766164006,-4.341720581054688,-8.340876579284668,100,95.28352615401796,-6.144259452819824,-9.150054931640625,100,93.93818809267758,-5.027301788330078,-7.767930030822754,100,95.48741997811722,-4.4230875968933105,-7.475213050842285,100,94.73610283570633,-5.4934844970703125,-8.383708000183105,100,88.88064935310864,-4.548412799835205,-6.627020359039307
