,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,item,condition,sentence,target,alternative,lstmccgjoint 0 correct (max),lstmccgjoint 0 correct (sample),lstmccgjoint 0 target score,lstmccgjoint 0 alternative score,lstmccgjoint 1 correct (max),lstmccgjoint 1 correct (sample),lstmccgjoint 1 target score,lstmccgjoint 1 alternative score,lstmccgjoint 2 correct (max),lstmccgjoint 2 correct (sample),lstmccgjoint 2 target score,lstmccgjoint 2 alternative score,lstmccgjoint 3 correct (max),lstmccgjoint 3 correct (sample),lstmccgjoint 3 target score,lstmccgjoint 3 alternative score,lstmccgjoint 4 correct (max),lstmccgjoint 4 correct (sample),lstmccgjoint 4 target score,lstmccgjoint 4 alternative score,lstmccglm 0 correct (max),lstmccglm 0 correct (sample),lstmccglm 0 target score,lstmccglm 0 alternative score,lstmccglm 1 correct (max),lstmccglm 1 correct (sample),lstmccglm 1 target score,lstmccglm 1 alternative score,lstmccglm 2 correct (max),lstmccglm 2 correct (sample),lstmccglm 2 target score,lstmccglm 2 alternative score,lstmccglm 3 correct (max),lstmccglm 3 correct (sample),lstmccglm 3 target score,lstmccglm 3 alternative score,lstmccglm 4 correct (max),lstmccglm 4 correct (sample),lstmccglm 4 target score,lstmccglm 4 alternative score
0,0,0,0,Franck_0_SSS,SSS,The ad from the office of the real estate agent,is,are,100,77.09051462141922,-3.947845697402954,-5.1612749099731445,100,87.54406415536144,-5.376567840576172,-7.326512813568115,100,92.54339584763336,-4.833422660827637,-7.3520002365112305,100,95.93551557547292,-4.530878067016602,-7.692267417907715,100,85.74695221274327,-5.114056587219238,-6.908486366271973,100,87.17289261172463,-5.121023654937744,-7.037356376647949,100,80.65819094616099,-5.1513566970825195,-6.579308032989502,100,90.36023367683121,-4.45095157623291,-6.688858985900879,100,77.20848260830915,-5.007984638214111,-6.228105545043945,100,92.51657713905963,-5.170713424682617,-7.685410976409912
1,1,1,1,Franck_0_SSP,SSP,The ad from the office of the real estate agents,is,are,0,25.10559887015498,-5.005076408386231,-3.91208815574646,0,27.86965599659528,-6.943058490753174,-5.992122173309326,100,57.14118683908625,-5.127292633056641,-5.41490650177002,100,55.98333310828318,-5.42704963684082,-5.667535305023193,0,21.188847078725896,-6.2588396072387695,-4.945260047912598,0,43.12059213637972,-5.9091386795043945,-5.632205963134766,0,43.00084975388565,-5.903480529785156,-5.621664047241211,0,28.873612882340016,-5.202280044555664,-4.300749778747559,0,22.17274069043704,-6.583281993865967,-5.327653884887695,100,53.21390360488567,-6.063201904296875,-6.1919355392456055
2,2,2,2,Franck_0_SPS,SPS,The ad from the offices of the real estate agent,is,are,100,70.5508498221016,-3.83003044128418,-4.703699111938477,100,83.1157368547261,-4.883206367492676,-6.477058410644531,100,89.25691077782048,-5.043468475341797,-7.160724639892578,100,88.98442704339088,-4.976105690002441,-7.0652570724487305,100,80.62196692836821,-4.801910400390625,-6.227541446685791,100,83.99547284789358,-5.104349136352539,-6.762240409851074,100,73.15680957693043,-5.037600994110107,-6.040194034576416,100,83.63516905438509,-4.106870174407959,-5.738199710845947,100,71.99908144679557,-4.573735237121582,-5.51815128326416,100,89.5292066990706,-4.477538108825684,-6.623513221740723
3,3,3,3,Franck_0_SPP,SPP,The ad from the offices of the real estate agents,is,are,0,23.8310523703524,-4.685324668884277,-3.523360252380371,0,21.63678664830748,-6.337006092071533,-5.050046443939209,0,48.15778713848219,-5.281242847442627,-5.207520961761475,0,46.55723225136607,-5.811542510986328,-5.673613548278809,0,18.816090892025912,-6.11627721786499,-4.654272556304932,0,35.11683975475917,-6.215561866760254,-5.601654529571533,0,38.57663114572469,-5.8346848487854,-5.369541168212891,0,23.01317872658135,-4.445108413696289,-3.2375411987304688,0,15.04512484348477,-6.472301959991455,-4.741235733032227,0,43.485827900238974,-5.460833549499512,-5.198777198791504
4,4,4,4,Franck_0_PSS,PSS,The ads from the office of the real estate agent,are,is,0,29.73625308945857,-5.284306526184082,-4.424417495727539,0,23.53327873970903,-5.99504280090332,-4.81660270690918,0,24.81630062235264,-6.312560081481934,-5.204126358032227,0,8.835415938093806,-5.439794540405273,-3.105896234512329,0,27.08953583838497,-4.456562042236328,-3.466477394104004,0,15.698572045073082,-6.045683860778809,-4.36485481262207,0,39.84971885616096,-4.791703224182129,-4.379972457885742,0,16.99361852370334,-5.883181571960449,-4.297101974487305,0,34.24869140927116,-5.222548484802246,-4.570317268371582,0,17.137217499553874,-6.008971214294434,-4.433037757873535
5,5,5,5,Franck_0_PSP,PSP,The ads from the office of the real estate agents,are,is,100,85.33768273522911,-3.963180541992188,-5.724515914916992,100,78.57981776735092,-5.016503810882568,-6.316285133361816,100,83.28496484057588,-4.382390975952148,-5.98835039138794,100,56.264714062952336,-3.814471960067749,-4.066384315490723,100,80.76347613843122,-3.0922844409942627,-4.526998519897461,100,70.58231477256672,-4.273355484008789,-5.148539066314697,100,82.3881488814759,-4.0584187507629395,-5.601288318634033,100,78.96867629095404,-3.5021817684173584,-4.825220108032227,100,85.31552751627626,-4.380846977233887,-6.1404128074646,100,64.8389173062409,-4.830356121063232,-5.442322254180908
6,6,6,6,Franck_0_PPS,PPS,The ads from the offices of the real estate agent,are,is,0,39.289458105811576,-4.680588245391846,-4.245427131652832,0,31.35971041396376,-5.074109077453613,-4.290753364562988,0,36.97361175888648,-5.857165336608887,-5.323816299438477,0,26.730514437066454,-4.796835899353027,-3.788497447967529,0,35.52458845468667,-4.3271307945251465,-3.731071949005127,0,21.715069952776446,-5.881845951080322,-4.599497318267822,100,50.55277479507291,-4.4980549812316895,-4.520166873931885,0,27.11171165543755,-5.127640247344971,-4.138678073883057,0,47.25981406226819,-4.624248504638672,-4.514531135559082,0,23.0553622054386,-4.835379123687744,-3.6301913261413574
7,7,7,7,Franck_0_PPP,PPP,The ads from the offices of the real estate agents,are,is,100,83.28685329562778,-3.702172517776489,-5.308267593383789,100,86.108860035697,-3.91351580619812,-5.737876892089844,100,90.30712144120224,-3.825162887573242,-6.056987762451172,100,68.0770438478966,-3.708580017089844,-4.46589469909668,100,80.7128015690765,-3.27669095993042,-4.708146572113037,100,77.77497248972881,-4.2333173751831055,-5.485918045043945,100,84.13470825393412,-3.831139087677002,-5.499424457550049,100,84.11379466292414,-2.6996278762817383,-4.366347312927246,100,91.05759210340848,-3.935455799102783,-6.256143093109131,100,66.63377803337171,-3.494523048400879,-4.186190605163574
8,8,8,8,Franck_1_SSS,SSS,The announcement by the director of the foundation,is,are,100,90.8774720287542,-5.665931224822998,-7.964696407318115,100,90.98384198603752,-6.511385917663574,-8.823049545288086,100,94.6372123746113,-6.2039313316345215,-9.074498176574709,100,87.21858654724915,-7.39411449432373,-9.314539909362791,100,93.06561701532658,-6.636436939239502,-9.23324966430664,100,63.952194868845424,-7.63533878326416,-8.20862865447998,100,64.55738058978356,-6.416239261627197,-7.015878677368164,100,59.37102698514818,-6.84900426864624,-7.228329181671143,100,80.53919459512223,-7.483429908752441,-8.90377140045166,100,55.284220208132396,-6.190052032470703,-6.402213096618652
9,9,9,9,Franck_1_SSP,SSP,The announcement by the director of the foundations,is,are,0,47.201723307348885,-7.495649814605713,-7.383601665496826,100,67.87344666741397,-8.656298637390137,-9.404260635375977,0,18.11041087084419,-9.022031784057615,-7.513146877288818,0,44.19712274753916,-8.445724487304688,-8.21255874633789,100,67.72987438498406,-8.044431686401367,-8.78581714630127,0,41.638777621059994,-9.119836807250977,-8.782217025756836,0,49.58015475010447,-8.413269996643066,-8.396475791931152,0,40.7006515534189,-10.096036911010742,-9.719682693481445,100,53.404372482189125,-9.248323440551758,-9.384709358215332,0,6.211648225512562,-8.769044876098633,-6.0544304847717285
10,10,10,10,Franck_1_SPS,SPS,The announcement by the directors of the foundation,is,are,100,81.40507118915544,-5.426031589508057,-6.902580261230469,100,64.79927155110319,-6.992791175842285,-7.603018760681152,100,86.7475359356796,-5.447635650634766,-7.326454162597656,100,65.75126563920306,-8.80846881866455,-9.460698127746582,100,78.52665316905025,-5.703510284423828,-7.000135898590088,0,42.76258053330504,-7.302377223968506,-7.010832786560059,0,45.80297960466505,-6.587886333465576,-6.419609546661377,0,48.764766311473366,-6.494403839111328,-6.444984436035156,100,79.38345446346423,-6.46484375,-7.813039779663086,100,65.39118638266818,-5.205899238586426,-5.8421783447265625
11,11,11,11,Franck_1_SPP,SPP,The announcement by the directors of the foundations,is,are,0,24.20671995257303,-6.884819984436035,-5.743440628051758,0,38.54392660602133,-9.386846542358398,-8.92032241821289,0,8.73297846166588,-8.191184997558594,-5.844501972198486,0,39.54939108745516,-9.273454666137695,-8.849178314208984,0,30.585523458514885,-6.549694061279297,-5.730125427246094,0,32.4776831183037,-8.993810653686523,-8.261905670166016,0,37.793911939181946,-7.815883636474609,-7.3175787925720215,0,15.268481811993151,-9.457626342773438,-7.743929386138916,0,25.354627891585263,-9.74555778503418,-8.665770530700684,0,11.837673611847778,-8.35438346862793,-6.346490859985352
12,12,12,12,Franck_1_PSS,PSS,The announcements by the director of the foundation,are,is,0,21.93206042204636,-6.7758989334106445,-5.5062689781188965,0,14.657085490926026,-8.46161937713623,-6.699865818023682,0,6.006774811728828,-7.972994804382324,-5.222660064697266,0,20.384578669360074,-8.640721321105957,-7.278292179107666,0,9.644415087779167,-8.12209701538086,-5.88472318649292,0,32.482054250240765,-7.832858562469482,-7.1011528968811035,0,35.205057444396616,-7.34426212310791,-6.734224319458008,0,37.28080850184533,-7.105190277099609,-6.585001468658447,0,27.211879918851245,-8.523457527160645,-7.539558410644531,0,43.647061911170795,-6.759581565856934,-6.504083156585693
13,13,13,13,Franck_1_PSP,PSP,The announcements by the director of the foundations,are,is,100,62.20183918911341,-6.318488121032715,-6.816612243652344,0,42.94267988947666,-9.093265533447266,-8.809075355529785,100,80.50674553095362,-6.975560665130615,-8.39383316040039,100,54.96417978135003,-8.338400840759277,-8.53762435913086,0,35.19537736342188,-7.996621131896973,-7.386158943176269,100,58.229829785061725,-8.498048782348633,-8.8302640914917,0,43.773524194370665,-9.26230525970459,-9.011946678161621,100,57.08369930325521,-9.301305770874023,-9.586572647094727,100,52.30411301184975,-8.908173561096191,-9.00040340423584,100,93.80664720633047,-6.537492752075195,-9.25525188446045
14,14,14,14,Franck_1_PPS,PPS,The announcements by the directors of the foundation,are,is,0,31.579469936473625,-6.092278003692627,-5.319112300872803,0,40.59115938105828,-7.061906814575195,-6.681014060974121,0,21.087753297415983,-5.720972061157227,-4.401328086853027,0,48.40840247198805,-8.709895133972168,-8.646209716796875,0,28.180304624807256,-5.974383354187012,-5.038847923278809,100,51.97613960458997,-6.801725387573242,-6.880812168121338,0,48.61433234056553,-7.007350444793701,-6.95190954208374,0,48.7816480985452,-6.51152229309082,-6.462778568267822,0,29.90617073915582,-7.499517440795898,-6.64774751663208,0,36.48887189407102,-6.36104679107666,-5.8068389892578125
15,15,15,15,Franck_1_PPP,PPP,The announcements by the directors of the foundations,are,is,100,80.4409066888434,-4.673410415649414,-6.087492942810059,100,70.16198490854316,-8.235808372497559,-9.090831756591797,100,93.05485419564604,-4.519630432128906,-7.114776611328125,100,68.34758115753841,-8.336628913879395,-9.106420516967772,100,79.1337569540433,-4.637399673461914,-5.970406532287598,100,60.045470620959705,-8.768799781799316,-9.176159858703613,100,56.30107956014867,-8.133052825927734,-8.386443138122559,100,76.59231636236237,-8.187823295593262,-9.373255729675293,100,77.78927795935984,-8.118308067321777,-9.371736526489258,100,84.6175702746234,-6.66111946105957,-8.366035461425781
16,16,16,16,Franck_2_SSS,SSS,The article by the writer for the magazine,is,are,100,89.82752561601734,-5.454061031341553,-7.632266998291016,100,78.1205787008682,-5.711455345153809,-6.984162330627441,100,85.35684841378927,-5.915351867675781,-7.678219795227051,100,91.19018984053982,-4.872134685516357,-7.209216117858887,100,96.24181581601314,-5.117112636566162,-8.360040664672852,100,72.40493996874156,-6.3240814208984375,-7.288719177246094,100,87.95791648525343,-4.727476596832275,-6.715927600860596,100,92.42573333871509,-5.63109016418457,-8.132739067077637,100,75.96247507554872,-5.1098551750183105,-6.260478496551514,100,89.82979548549446,-3.4596729278564453,-5.638127326965332
