,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,item,condition,sentence,target,alternative,lstmaugment 0 correct (max),lstmaugment 0 correct (sample),lstmaugment 0 target score,lstmaugment 0 alternative score,lstmaugment 1 correct (max),lstmaugment 1 correct (sample),lstmaugment 1 target score,lstmaugment 1 alternative score,lstmaugment 2 correct (max),lstmaugment 2 correct (sample),lstmaugment 2 target score,lstmaugment 2 alternative score,lstmaugment 3 correct (max),lstmaugment 3 correct (sample),lstmaugment 3 target score,lstmaugment 3 alternative score,lstmaugment 4 correct (max),lstmaugment 4 correct (sample),lstmaugment 4 target score,lstmaugment 4 alternative score,lstmlmaug 0 correct (max),lstmlmaug 0 correct (sample),lstmlmaug 0 target score,lstmlmaug 0 alternative score,lstmlmaug 1 correct (max),lstmlmaug 1 correct (sample),lstmlmaug 1 target score,lstmlmaug 1 alternative score,lstmlmaug 2 correct (max),lstmlmaug 2 correct (sample),lstmlmaug 2 target score,lstmlmaug 2 alternative score,lstmlmaug 3 correct (max),lstmlmaug 3 correct (sample),lstmlmaug 3 target score,lstmlmaug 3 alternative score,lstmlmaug 4 correct (max),lstmlmaug 4 correct (sample),lstmlmaug 4 target score,lstmlmaug 4 alternative score,lstmwiki_lm 0 correct (max),lstmwiki_lm 0 correct (sample),lstmwiki_lm 0 target score,lstmwiki_lm 0 alternative score,lstmwiki_lm 1 correct (max),lstmwiki_lm 1 correct (sample),lstmwiki_lm 1 target score,lstmwiki_lm 1 alternative score,lstmwiki_lm 2 correct (max),lstmwiki_lm 2 correct (sample),lstmwiki_lm 2 target score,lstmwiki_lm 2 alternative score,lstmwiki_lm 3 correct (max),lstmwiki_lm 3 correct (sample),lstmwiki_lm 3 target score,lstmwiki_lm 3 alternative score,lstmwiki_lm 4 correct (max),lstmwiki_lm 4 correct (sample),lstmwiki_lm 4 target score,lstmwiki_lm 4 alternative score,gpt2 correct (max),gpt2 correct (sample),gpt2 target score,gpt2 alternative score,lstmaugment_tied 0 correct (max),lstmaugment_tied 0 correct (sample),lstmaugment_tied 0 target score,lstmaugment_tied 0 alternative score,lstmaugment_tied 1 correct (max),lstmaugment_tied 1 correct (sample),lstmaugment_tied 1 target score,lstmaugment_tied 1 alternative score,lstmaugment_tied 2 correct (max),lstmaugment_tied 2 correct (sample),lstmaugment_tied 2 target score,lstmaugment_tied 2 alternative score,lstmaugment_tied 3 correct (max),lstmaugment_tied 3 correct (sample),lstmaugment_tied 3 target score,lstmaugment_tied 3 alternative score
0,0,0,0,0,0,0,0,0,HaskellMacDonald_0_SP,SP,Can you ask Brenda if the girl or the boys,are,is,100,95.45647677576312,-1.8858709335327148,-4.930838584899902,100,99.3223581274588,-0.9798091053962708,-5.967316150665283,100,99.16819168793654,-1.027354717254639,-5.808325290679932,100,98.91358143687424,-0.8065387606620789,-5.317898750305176,100,99.4693334742398,-0.8337288498878479,-6.06719970703125,100,63.14753560004158,-2.1576318740844727,-2.696183204650879,100,96.8745078796112,-1.3614057302474976,-4.795230388641357,100,89.00967761403044,-1.8450499773025515,-3.936779975891113,100,97.68148631379424,-1.406190276145935,-5.146975994110107,100,98.83877847145166,-1.0588639974594116,-5.5028815269470215,100,94.33187203819236,-1.8877687454223635,-4.699728965759277,100,97.6978764159413,-1.7012453079223633,-5.44929313659668,100,93.4806125627984,-1.7136704921722412,-4.376644134521484,100,94.20810344486796,-1.8422883749008176,-4.6313347816467285,100,80.31970127055408,-2.0633931159973145,-3.469789981842041,100,97.57879712507045,-1.413547158241272,-5.10994291305542,100,99.186094449183,-0.9792419672012328,-5.782150745391846,100,94.10363457624912,-1.228276014328003,-3.998336553573608,100,91.55795312432322,-1.7727487087249756,-4.156496047973633,100,94.87865927356304,-1.4658291339874268,-4.385011672973633
1,1,1,1,1,1,1,1,1,HaskellMacDonald_0_PS,PS,Can you ask Brenda if the girls or the boy,are,is,100,79.33607530358384,-2.382049083709717,-3.727352619171143,100,92.25191016962104,-1.221110224723816,-3.698186874389648,100,97.58427547799224,-1.0579833984375,-4.75670051574707,100,96.24969919514348,-1.7247321605682373,-4.969841957092285,100,86.09133617132638,-1.4950915575027466,-3.317988395690918,100,86.72411109392061,-1.666203498840332,-3.542985916137696,100,81.22796670316843,-1.213437557220459,-2.67832899093628,100,84.97430243088462,-1.5588873624801636,-3.2914743423461914,100,93.53779285356032,-1.35606586933136,-4.028460502624512,100,76.4896777225608,-1.716649889945984,-2.8963661193847656,100,95.57120470971486,-1.8538527488708496,-4.925596714019775,100,93.22014290796338,-1.1676803827285769,-3.7886881828308105,100,97.83741141197298,-1.1212373971939087,-4.933238506317139,100,86.77338047065983,-2.317695379257202,-4.198763847351074,100,95.65029732206618,-1.431231141090393,-4.521822452545166,100,63.40690335232521,-1.9125432968139648,-2.46225643157959,100,93.81698765551714,-1.840690851211548,-4.5602312088012695,100,70.21107585606914,-1.6612844467163086,-2.5186538696289062,100,75.197522329048,-2.139746904373169,-3.248921632766724,100,92.98216557619364,-1.454645037651062,-4.03859806060791
2,2,2,2,2,2,2,2,2,HaskellMacDonald_1_SP,SP,Do you know if the tiger or the lions,were,was,100,85.25015472165487,-3.149234771728516,-4.903592109680176,100,98.09596171380656,-2.987351179122925,-6.929320335388184,100,92.13195875262812,-3.922065019607544,-6.382477760314941,100,77.21647814366045,-4.023859977722168,-5.2444353103637695,100,98.27811216071132,-1.997179627418518,-6.04155969619751,100,83.24461277433905,-2.103437662124634,-3.706501245498657,100,94.94020242082983,-2.21493935585022,-5.146860122680664,100,76.05596602130564,-3.186366081237793,-4.342116355895996,100,90.26139609887572,-2.7659249305725098,-4.992537021636963,100,96.2268669972842,-2.583181858062744,-5.821984767913818,100,95.51563449970229,-3.184174060821533,-6.24286699295044,100,89.6736054240013,-3.14363431930542,-5.305107593536377,100,83.93389095465615,-3.226593494415283,-4.879910945892334,100,77.62507599836837,-3.6393539905548096,-4.883303642272949,100,80.67135460258994,-2.9867053031921387,-4.415500640869141,100,95.51439254302367,-2.992183208465576,-6.050586223602295,100,79.84809193137339,-3.0893919467926025,-4.466218948364258,100,82.90134425284491,-2.748293399810791,-4.326944828033447,100,88.73374209614323,-3.128304004669189,-5.192131996154785,100,98.24505642666398,-2.168268203735352,-6.193296432495117
3,3,3,3,3,3,3,3,3,HaskellMacDonald_1_PS,PS,Do you know if the tigers or the lion,were,was,100,58.81639646161207,-4.433009147644043,-4.789389610290527,100,92.67220250513272,-2.452758312225342,-4.990151882171631,100,67.1398192461471,-4.666199684143066,-5.380715370178223,100,69.197296078345,-3.456437349319458,-4.265796661376953,100,89.01267311855638,-2.844675064086914,-4.936711311340332,100,69.41587358392563,-2.824720859527588,-3.644355297088623,100,81.83897819712685,-1.9197344779968264,-3.425210475921631,100,89.21839658695049,-2.45755386352539,-4.570799827575684,100,94.87046951167972,-2.704694986343384,-5.622193336486816,100,73.34561347979283,-2.9425597190856934,-3.95478868484497,100,98.24605422173887,-2.329787254333496,-6.35539436340332,100,97.12805543103651,-2.4078335762023926,-5.928874492645264,100,91.35632531697112,-2.8801279067993164,-5.238067626953125,100,97.6888908340236,-3.118765115737915,-6.862825393676758,100,92.7635969584026,-2.094676971435547,-4.645606994628906,100,66.49364816532403,-3.0423505306243896,-3.727721929550171,100,50.87190371704632,-4.239035606384277,-4.27391529083252,100,79.71911667729029,-2.518338203430176,-3.887168884277344,100,93.64550710566006,-4.353710174560547,-7.044064521789551,100,75.50558967381237,-3.3539793491363525,-4.479741096496582
4,4,4,4,4,4,4,4,4,HaskellMacDonald_2_SP,SP,Do you think the nut or the olives,are,is,100,78.98224096951738,-1.8468223810195925,-3.170677661895752,100,95.24157963264966,-0.7364484071731567,-3.7329492568969727,100,99.04526366756645,-0.645643413066864,-5.287540435791016,100,98.28067186466652,-1.0079792737960815,-5.053873062133789,100,94.18563943201698,-1.2347054481506348,-4.019642353057861,100,76.58410835325674,-1.9160501956939693,-3.101024866104126,100,83.12137050403456,-2.1437792778015137,-3.738032817840576,100,75.35720427489125,-1.8308682441711424,-2.9486231803894043,100,91.08185389613163,-1.2962292432785034,-3.6198997497558594,100,91.85320070891716,-1.120825171470642,-3.543391704559326,100,94.86514777054278,-1.1222432851791382,-4.03864860534668,100,89.82748640127333,-1.2360868453979492,-3.4142885208129883,100,95.65765604226073,-1.135881423950195,-4.228242874145508,100,85.59397330658614,-1.4791005849838257,-3.261068820953369,100,85.07932249580374,-1.3729759454727173,-3.11381196975708,100,94.23100249612904,-1.3905349969863892,-4.183785915374756,100,80.16405653804506,-1.670465111732483,-3.067044734954834,100,92.88104493330792,-0.9924677014350892,-3.561026334762573,100,88.84229737360909,-2.2308425903320312,-4.305575370788574,100,97.67899389892423,-1.0870888233184814,-4.826774597167969
5,5,5,5,5,5,5,5,5,HaskellMacDonald_2_PS,PS,Do you think the nuts or the olive,are,is,0,24.831000949792617,-3.0629918575286865,-1.955345869064331,0,39.52741371098833,-5.065220832824707,-4.6400251388549805,100,76.61721885206228,-4.2847981452941895,-5.471620082855225,100,84.45455297334969,-3.2814831733703613,-4.973928928375244,0,44.7734998659663,-4.583490371704102,-4.373663902282715,100,64.65763782687112,-2.233041524887085,-2.837065458297729,100,50.76919685606144,-4.673025608062744,-4.703795909881592,100,90.45021958830996,-1.6605088710784912,-3.908790349960327,100,68.65728444762215,-3.660708427429199,-4.444853782653809,100,63.46277978711903,-2.3994412422180176,-2.9515633583068848,100,65.05583801026769,-3.994474172592163,-4.615968704223633,100,71.6527478877776,-2.924444913864136,-3.8517463207244873,0,48.008494703378965,-5.31089973449707,-5.231197357177734,100,79.49011709413494,-4.067571640014648,-5.422297477722168,100,54.973622339694,-3.5074057579040527,-3.707010746002197,100,60.08893373080593,-5.035799026489258,-5.444971084594727,100,50.56729266486863,-4.464308261871338,-4.487000942230225,100,74.5214268647091,-2.392230987548828,-3.465479850769043,100,59.5384984241152,-1.941474676132202,-2.327746868133545,100,62.79460922859651,-2.457672595977783,-2.981088161468506
6,6,6,6,6,6,6,6,6,HaskellMacDonald_3_SP,SP,Have you heard whether the swimmer or the runners,are,is,100,98.50718726421242,-1.078636646270752,-5.268104076385498,100,99.15281930774609,-0.7770357728004456,-5.539539337158203,100,98.43766077310164,-1.4266860485076904,-5.569925308227539,100,99.50926582192028,-0.9520381093025208,-6.26414155960083,100,98.42748461750936,-0.7705805897712708,-4.907224178314209,100,71.66545330415258,-1.93041467666626,-2.858341693878174,100,94.21298255072446,-1.3060916662216189,-4.096032619476318,100,83.73206256136044,-1.771796941757202,-3.4102227687835693,100,98.7500869310375,-0.9531326293945312,-5.322650909423828,100,98.51503594027731,-1.5932153463363647,-5.788033962249756,100,94.85693524678008,-1.2599843740463257,-4.174705028533936,100,98.93896599602998,-1.8105583190917969,-6.345817565917969,100,70.2628078946225,-1.977162480354309,-2.8370065689086914,100,98.97201850179408,-1.442772626876831,-6.010012626647949,100,92.35804036328707,-1.3690907955169678,-3.861109495162964,100,82.68975223701239,-1.8258535861968994,-3.389650583267212,100,64.08705269493748,-2.352100849151612,-2.9312453269958496,100,96.33233829948666,-1.1725633144378662,-4.440813064575195,100,94.87959235686884,-1.5511759519577026,-4.470550537109375,100,97.91214934185768,-0.9526965022087096,-4.800631999969482
7,7,7,7,7,7,7,7,7,HaskellMacDonald_3_PS,PS,Have you heard whether the swimmers or the runner,are,is,0,39.39611675473122,-2.7475664615631104,-2.3168747425079346,100,92.47990651814116,-0.7215971350669861,-3.2310099601745605,0,24.414013672604536,-3.457194566726685,-2.3270809650421143,100,79.3010164529559,-1.5844745635986328,-2.927640914916992,100,90.7055334599818,-0.8580906987190247,-3.1362898349761963,100,80.02210278633525,-1.6794251203536987,-3.06710147857666,100,61.55874005343384,-1.7139413356781006,-2.184801816940308,100,71.48154926287836,-1.921682357788086,-2.8405704498291016,0,18.881312793866755,-3.449129581451416,-1.9913889169692995,100,70.66546310032537,-1.9563570022583008,-2.8355484008789062,100,97.0092167912832,-1.3244211673736572,-4.803691864013672,100,90.39769119014358,-1.365573167800903,-3.607788324356079,100,96.77773982037036,-1.3911726474761963,-4.793506622314453,100,80.62311972849996,-1.7712866067886353,-3.196991443634033,100,95.45838678619955,-1.0050007104873655,-4.050408840179443,100,70.46811771587436,-2.1145122051239014,-2.9842021465301514,0,42.97513950595607,-2.655080795288086,-2.3722152709960938,100,92.17982402458608,-1.3508397340774536,-3.817873954772949,100,74.04946230879628,-1.8742891550064087,-2.922830104827881,100,69.76133432259012,-2.2892608642578125,-3.125219345092773
8,8,8,8,8,8,8,8,8,HaskellMacDonald_4_SP,SP,How do I know if the stove or the refrigerators,are,is,100,86.80278106823916,-1.1531153917312622,-3.036747932434082,100,90.8221031182554,-1.0653506517410278,-3.357455253601074,100,94.89827770733189,-0.9929386973381042,-3.916166067123413,100,95.9018958062154,-1.382192850112915,-4.534994125366211,100,98.8357631119728,-0.9644200205802916,-5.405813694000244,100,94.3588459624568,-1.70238995552063,-4.519406318664551,100,76.94927301485612,-2.184950590133667,-3.390399694442749,100,89.80551490054887,-1.8970659971237185,-4.07286548614502,100,96.05441222669292,-0.960858941078186,-4.1531758308410645,100,99.30565895343476,-1.4514999389648438,-6.414494514465332,100,73.56045472875762,-2.022534370422364,-3.045781135559082,100,75.73834921472915,-2.009527444839477,-3.1479151248931885,100,89.32150342532358,-1.5717138051986694,-3.695724010467529,100,74.50402173274978,-2.635039567947388,-3.707371950149536,100,86.4607351734966,-1.7126522064208984,-3.56674861907959,100,99.08792583603103,-0.7494684457778931,-5.437510013580322,100,79.51769919499901,-1.878341794013977,-3.234760284423828,100,84.47514923129141,-1.0619550943374634,-2.7559704780578613,100,92.18267138626646,-1.4646762609481812,-3.932105541229248,100,93.858008334594,-1.088483810424805,-3.815117835998535
9,9,9,9,9,9,9,9,9,HaskellMacDonald_4_PS,PS,How do I know if the stoves or the refrigerator,are,is,100,56.953677698392966,-1.8227030038833616,-2.1026644706726074,100,66.57410416709365,-1.354878544807434,-2.043863296508789,100,93.28325376991953,-1.0217695236206057,-3.652806282043457,100,54.15331521633481,-2.55483078956604,-2.7213470935821533,100,95.77847529827577,-0.8799460530281067,-4.001787662506104,100,83.16045861356505,-1.2036737203598022,-2.800715923309326,100,78.39193128438833,-1.5140377283096311,-2.80269193649292,100,93.7267505427013,-1.379685401916504,-4.083774566650391,100,97.37676873561324,-1.0269343852996826,-4.641115188598633,100,86.404111614665,-1.6836081743240356,-3.5328760147094727,100,89.62648623867071,-1.481122374534607,-3.6375174522399902,100,94.30940357254988,-1.6835829019546509,-4.491348743438721,100,79.56145263339066,-1.798417091369629,-3.1575241088867188,100,64.23290693109676,-2.6314034461975098,-3.216890811920166,100,59.581435591870026,-1.9976816177368164,-2.3857364654541016,100,84.61143712793006,-1.191230297088623,-2.8956751823425293,100,82.08875490183371,-0.8285674452781677,-2.3509397506713867,100,92.74573491948584,-1.2309317588806152,-3.7792038917541504,100,82.57432102257003,-1.5530694723129272,-3.108823299407959,100,88.3630967199691,-1.173993706703186,-3.2012667655944824
